Paper,Lat,Long,Study,Site,Pathway,Mean_rate,errorbar_values,error_reported,sample_size,Wetland_type_reported,Wetland_type,Inc_temp,Inc_length_days,Depth_cm,Depth_representative,Salinity_ppt,Salinity_cat,dom_veg,method,labeled_substrate,subpathway,Potential
Perryman et al 2020,68_21N,19_02E,28,60,Aerobic methane oxidation,0.0505,yes_later,SD,3,peatland,Bog,10,1,0-8,4,NA,low,Sphagnum sp.,non-slurried incubation,NA,NA,YES
Perryman et al 2020,68_21N,19_02E,28,60,Aerobic methane oxidation,0.0686,yes_later,SD,3,peatland,Bog,10,1,8-15.,11.5,NA,low,Sphagnum sp.,non-slurried incubation,NA,NA,YES
Perryman et al 2020,68_21N,19_02E,28,61,Aerobic methane oxidation,0.0605,yes_later,SD,3,peatland,Bog,10,1,0-7,3.5,NA,low,Sphagnum sp.,non-slurried incubation,NA,NA,YES
Perryman et al 2020,68_21N,19_02E,28,61,Aerobic methane oxidation,0.0517,yes_later,SD,3,peatland,Bog,10,1,7-15.,11,NA,low,Sphagnum sp.,non-slurried incubation,NA,NA,YES
Perryman et al 2020,68_21N,19_02E,28,62,Aerobic methane oxidation,0.187,yes_later,SD,3,peatland,Fen,10,1,0-10,5,NA,low,Eriophorum angustifolium,non-slurried incubation,NA,NA,YES
Perryman et al 2020,68_21N,19_02E,28,62,Aerobic methane oxidation,0.1621,yes_later,SD,3,peatland,Fen,10,1,10-20.,15,NA,low,Eriophorum angustifolium,non-slurried incubation,NA,NA,YES
Perryman et al 2020,68_21N,19_02E,28,63,Aerobic methane oxidation,0.1683,yes_later,SD,3,peatland,Fen,10,1,0-10,5,NA,low,Carex sp.,non-slurried incubation,NA,NA,YES
Perryman et al 2020,68_21N,19_02E,28,63,Aerobic methane oxidation,0.1434,yes_later,SD,3,peatland,Fen,10,1,10-20.,15,NA,low,Carex sp.,non-slurried incubation,NA,NA,YES
Zhang et al 2019,32_38.8137N,120_53.2272E,29,64,Aerobic methane oxidation,8.352,yes_later,NA,25,rice paddy,Paddy,28,2,0-20,10,0.22,NA,Oryza sp.,non-slurried incubation,NA,NA,YES
Basiliko et al 2004,45_5.1N,75_32.5W,30,65,Aerobic methane oxidation,0.814,yes_later,SD,18,Fen,Fen,22,4,NA,NA,NA,low,Sphagnum sp.,non-slurried incubation,NA,NA,YES
Moore and Dalva 1997,49_3N,80_40W,31,66,Aerobic methane oxidation,0.249,NA,NA,3,Forested bog ,Bog,20,5,5,5,NA,low,NA,shaken soil slurry ,NA,NA,YES
Moore and Dalva 1997,49_3N,80_40W,31,66,Aerobic methane oxidation,1.558,NA,NA,3,Forested bog ,Bog,20,5,15,15,NA,low,NA,shaken soil slurry ,NA,NA,YES
Moore and Dalva 1997,49_3N,80_40W,31,66,Aerobic methane oxidation,0.499,NA,NA,3,Forested bog ,Bog,20,5,25,25,NA,low,NA,shaken soil slurry ,NA,NA,YES
